Query ID,Query,Category,Intent,Expected Constraints,Returned Top Hotel,Top Hotel Score,Relevant (Yes/Partial/No),Constraint Satisfaction %,Notes
Q016,hotel suitable for elderly parents and kids,Family,Family Travel,family=true,Flora Residency,0.5223,Yes,100.00,Retrieved 8 ranked recommendations. Provenance: Metadata
Q017,safe single room hotel for solo traveler in delhi,Solo,Solo Travel,"safe=true, area=delhi","Radisson Blu Hotel, New Delhi Paschim Vihar",0.4136,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Aspect Index
Q018,social hostel or guest house in gurugram,Solo,Solo Travel,area=gurugram,Holiday Inn Gurugram Sector 90 By Ihg,0.6766,Yes,100.00,"Retrieved 6 ranked recommendations. Provenance: Vector, Vector, Vector"
Q019,safe budget room for solo female traveler,Solo,Solo Travel,"safe=true, budget=budget",Flora Residency,0.6055,Partial,50.00,"Retrieved 10 ranked recommendations. Provenance: Metadata, Aspect Index"
Q020,solo transit stay near IGI airport,Solo,Solo Travel,area=airport,Airport Hotel Royal Inn Igi,0.7302,Yes,100.00,"Retrieved 2 ranked recommendations. Provenance: Vector, Vector, Vector"
Q021,couple friendly hotel in delhi NCR with privacy,Couples,Couple Travel,couple=true,"Holiday Inn New Delhi Mayur Vihar Noida, An Ihg Hotel",0.5288,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q022,romantic hotel with bathtub for anniversary,Couples,Couple Travel,couple=true,Flora Residency,0.6152,Yes,100.00,Retrieved 7 ranked recommendations. Provenance: Metadata
Q023,honeymoon suites in luxury hotels Aerocity,Couples,Couple Travel,"couple=true, budget=luxury, area=aerocity","Holiday Inn New Delhi Int'L Airport, An Ihg Hotel",0.9462,Partial,66.67,"Retrieved 3 ranked recommendations. Provenance: Metadata, Vector, Vector, Vector"
Q024,secure stay for unmarried couples in gurugram,Couples,Couple Travel,"couple=true, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.7514,Yes,100.00,"Retrieved 10 ranked recommendations. Provenance: Vector, Vector, Vector"
Q025,weekend getaway resort near delhi NCR,Weekend,Weekend Trip,resort=true,"Fortune Park, East Delhi - Member Itc Hotels' Group",0.5870,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q026,resort with pool for weekend staycation,Weekend,Weekend Trip,pool=true,"Aapnoghar (Resort, Water Park, Amusement Park)",0.5712,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q027,quick weekend stay near leisure valley gurugram,Weekend,Weekend Trip,area=gurugram,Holiday Inn Gurugram Sector 90 By Ihg,0.7508,Yes,100.00,"Retrieved 10 ranked recommendations. Provenance: Vector, Vector, Vector"
Q028,short 2 day trip stays near manesar hill,Weekend,Weekend Trip,area=manesar,Hotel Gurugram Manesar,0.7598,Yes,100.00,"Retrieved 7 ranked recommendations. Provenance: Metadata, Vector, Vector, Vector"
Q029,long stay service apartments in gurugram with kitchen,Long Stays,Long Stay,"kitchen=true, area=gurugram",Hotel Mavens House,0.5435,Yes,100.00,Retrieved 6 ranked recommendations. Provenance: Vector
Q030,extended stay discounts hotel in delhi NCR,Long Stays,Long Stay,long_stay=true,"Fortune Park, East Delhi - Member Itc Hotels' Group",0.5200,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q031,homestay with laundry facilities for monthly rent,Long Stays,Long Stay,laundry=true,Family Guest House,0.5860,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q032,monthly executive suite near cyber city,Long Stays,Long Stay,area=gurugram,"Radisson Blu Plaza Hotel, Delhi Airport",0.6019,No,0.00,"Retrieved 8 ranked recommendations. Provenance: Metadata, Vector"
Q033,hotels within walking distance to metro station delhi,Proximity,Metro Proximity,"metro=true, area=delhi",Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms,0.5093,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q034,budget hotels near huda city centre metro,Proximity,Metro Proximity,"metro=true, budget=budget, area=gurugram",None,0.0000,No,0.00,Retrieved 0 ranked recommendations. Provenance: N/A
Q035,hotels near IGI Airport terminal 3 Aerocity,Proximity,Airport Proximity,area=aerocity,Novotel New Delhi Aerocity,0.4259,Yes,100.00,Retrieved 3 ranked recommendations. Provenance: Vector
Q036,transit stays near airport with free pickup,Proximity,Airport Proximity,airport=true,Holiday Inn Express New Delhi Int'L Airport T3,0.6058,Yes,100.00,"Retrieved 2 ranked recommendations. Provenance: Vector, Vector, Vector"
Q037,hotels near red fort and chandni chowk delhi,Proximity,Attraction Proximity,area=delhi,Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms,0.5106,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q038,stay near qutub minar south delhi,Proximity,Attraction Proximity,area=delhi,Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms,0.5764,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q039,hotels near kingdom of dreams gurugram,Proximity,Attraction Proximity,area=gurugram,Holiday Inn Gurugram Sector 90 By Ihg,0.6759,Yes,100.00,"Retrieved 6 ranked recommendations. Provenance: Vector, Vector, Vector"
Q040,resorts near sultanpur bird sanctuary,Proximity,Attraction Proximity,sanctuary=true,Sultanpur Resorts And Fun Village,0.7322,Yes,100.00,"Retrieved 4 ranked recommendations. Provenance: Vector, Vector, Vector"
Q041,hotels with excellent cleanliness ratings,Cleanliness,High Cleanliness,cleanliness>=4.8,Hotel D K Residency,0.5607,Yes,100.00,"Retrieved 6 ranked recommendations. Provenance: Metadata, Aspect Index"
Q042,hygienic and sanitised rooms in delhi NCR,Cleanliness,High Cleanliness,cleanliness>=4.5,Ibis New Delhi Aerocity,0.4933,Yes,100.00,Retrieved 5 ranked recommendations. Provenance: Metadata
Q043,spotless premium hotels in gurugram,Cleanliness,High Cleanliness,"cleanliness>=4.8, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.6764,Yes,100.00,"Retrieved 6 ranked recommendations. Provenance: Vector, Vector, Vector"
Q044,highly clean budget hotel,Cleanliness,High Cleanliness,"cleanliness>=4.5, budget=budget","Holiday Inn New Delhi Int'L Airport, An Ihg Hotel",0.5656,No,0.00,Retrieved 8 ranked recommendations. Provenance: Metadata
Q045,top rated hotels with 5 star guest ratings,Ratings,High Ratings,rating>=4.5,Flora Residency,0.4831,Yes,100.00,"Retrieved 8 ranked recommendations. Provenance: Metadata, Aspect Index"
Q046,best reviewed hotels in gurugram,Ratings,High Ratings,"rating>=4.5, area=gurugram",Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr,0.6078,Yes,100.00,"Retrieved 3 ranked recommendations. Provenance: Metadata, Aspect Index, Vector, Vector, Vector"
Q047,hotels with high trust score above 90,Ratings,High Ratings,trust>=90,Hotel D K Residency,0.5167,Yes,100.00,Retrieved 8 ranked recommendations. Provenance: Metadata
Q048,guest favorite stays in delhi NCR,Ratings,High Ratings,rating>=4.5,Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms,0.5764,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q049,best value for money hotels in delhi,Value,Good Value,"value>=4.5, area=delhi",Hotel Aerostar Grand,0.4913,Yes,100.00,"Retrieved 4 ranked recommendations. Provenance: Metadata, Aspect Index"
Q050,high quality low price hotel gurugram,Value,Good Value,"value>=4.5, budget=budget, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.7229,Partial,66.67,"Retrieved 6 ranked recommendations. Provenance: Vector, Vector, Vector"
Q051,worth the price stay near manesar,Value,Good Value,"value>=4.5, area=manesar",Hotel Gurugram Manesar,0.8028,Yes,100.00,"Retrieved 7 ranked recommendations. Provenance: Metadata, Vector, Vector, Vector"
Q052,highly rated value properties delhi NCR,Value,Good Value,value>=4.5,Ibis New Delhi Aerocity,0.4890,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q053,hotels offering free breakfast in delhi,Amenities,Free Breakfast,"breakfast=true, area=delhi",The Castle Bed And Breakfast,0.5380,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q054,luxury stay with complimentary buffet breakfast,Amenities,Free Breakfast,"breakfast=true, budget=luxury",Sunbird Resorts,0.7028,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q055,cheap room with free morning breakfast gurugram,Amenities,Free Breakfast,"breakfast=true, budget=budget, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.7812,Partial,66.67,"Retrieved 10 ranked recommendations. Provenance: Vector, Vector, Vector"
Q056,stay near cyber city including breakfast,Amenities,Free Breakfast,"breakfast=true, area=gurugram",Five Elements Hotels - Delhi (Hotel North Avenue),0.6044,Partial,50.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q057,stays with free high speed wifi in gurugram,Amenities,Free WiFi,"wifi=true, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.6767,Yes,100.00,"Retrieved 10 ranked recommendations. Provenance: Vector, Vector, Vector"
Q058,business travel hotel with free internet delhi,Amenities,Free WiFi,"wifi=true, area=delhi",Hotel View - A Boutique Hotel,0.5797,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q059,budget stay with free wifi for work from home,Amenities,Free WiFi,"wifi=true, budget=budget",Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms,0.7118,Yes,100.00,"Retrieved 10 ranked recommendations. Provenance: Metadata, Vector, Vector"
Q060,hotel with robust wifi in manesar NCR,Amenities,Free WiFi,"wifi=true, area=manesar",Jps Palm Inn,0.5535,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q061,hotels with indoor swimming pool in gurugram,Amenities,Swimming Pool,"pool=true, area=gurugram",Royal Residence A69,0.7588,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q062,luxury hotel with outdoor pool delhi,Amenities,Swimming Pool,"pool=true, budget=luxury, area=delhi","Fortune Park, East Delhi - Member Itc Hotels' Group",0.6946,Yes,100.00,"Retrieved 10 ranked recommendations. Provenance: Metadata, Vector"
Q063,resorts with kids swimming pool manesar,Amenities,Swimming Pool,"pool=true, area=manesar",Fabexpress Next Home,0.7741,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q064,rooftop swimming pool hotels NCR,Amenities,Swimming Pool,pool=true,None,0.0000,No,0.00,Retrieved 0 ranked recommendations. Provenance: N/A
Q065,hotels with fully equipped gym or fitness center,Amenities,Fitness Gym,gym=true,"Hotel Ashiyana Elite, Near Golf Course Road",0.5550,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q066,luxury stay with 24 hour gym gurugram,Amenities,Fitness Gym,"gym=true, budget=luxury, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.7989,Partial,66.67,"Retrieved 10 ranked recommendations. Provenance: Vector, Vector, Vector"
Q067,business hotel with gym in aerocity delhi,Amenities,Fitness Gym,"gym=true, area=aerocity",Hotel Aerostar Grand,0.6000,Partial,50.00,Retrieved 5 ranked recommendations. Provenance: Metadata
Q068,fitness friendly hotels near cyber hub,Amenities,Fitness Gym,"gym=true, area=gurugram","Radisson Blu Plaza Hotel, Delhi Airport",0.5351,Partial,50.00,Retrieved 8 ranked recommendations. Provenance: Metadata
Q069,hotels with spa massage and wellness center,Amenities,Spa Wellness,spa=true,Zen Suites - Gurgaon,0.6098,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q070,luxury spa resorts near manesar,Amenities,Spa Wellness,"spa=true, budget=luxury, area=manesar","Heritage Village Resort & Spa, Manesar",0.8502,Yes,100.00,"Retrieved 10 ranked recommendations. Provenance: Vector, Vector, Vector"
Q071,5 star hotel with wellness spa and pool delhi,Amenities,Spa Wellness,"spa=true, pool=true, budget=luxury, area=delhi",Urban Retreat,0.6048,Partial,75.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q072,relaxing stay with sauna and steam room gurugram,Amenities,Spa Wellness,"spa=true, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.6667,Yes,100.00,"Retrieved 6 ranked recommendations. Provenance: Vector, Vector, Vector"
Q073,hotels with free private parking on site,Amenities,Free Parking,parking=true,Park Inn By Radisson New Delhi Ip Extension,0.5991,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q074,secure car parking hotels in delhi,Amenities,Free Parking,"parking=true, area=delhi",Park Inn By Radisson New Delhi Ip Extension,0.6051,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q075,budget hotel with free parking gurugram,Amenities,Free Parking,"parking=true, budget=budget, area=gurugram",Crs Inn - Hotels In Gurgaon,0.8461,Yes,100.00,"Retrieved 10 ranked recommendations. Provenance: Vector, Vector, Vector"
Q076,resorts with valet parking near manesar,Amenities,Free Parking,"parking=true, area=manesar",Komal Residency,0.7085,Yes,100.00,Retrieved 5 ranked recommendations. Provenance: Vector
Q077,pet friendly hotels in delhi NCR for dogs,Preferences,Pet Friendly,pets=true,Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms,0.5764,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q078,dog friendly stays in gurugram with lawn,Preferences,Pet Friendly,"pets=true, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.6974,Yes,100.00,"Retrieved 6 ranked recommendations. Provenance: Vector, Vector, Vector"
Q079,resorts near manesar allowing pets,Preferences,Pet Friendly,"pets=true, area=manesar",Hotel Gurugram Manesar,0.7637,Yes,100.00,"Retrieved 7 ranked recommendations. Provenance: Metadata, Vector, Vector, Vector"
Q080,luxury stay allowing cats and pets delhi,Preferences,Pet Friendly,"pets=true, budget=luxury, area=delhi","Fortune Park, East Delhi - Member Itc Hotels' Group",0.6361,Yes,100.00,"Retrieved 6 ranked recommendations. Provenance: Metadata, Vector"
Q081,quiet hotels away from noise in delhi,Preferences,Quiet Hotel,"quiet=true, area=delhi",Hotel Hr Residency,0.5157,Yes,100.00,Retrieved 6 ranked recommendations. Provenance: Vector
Q082,peaceful resort in green area manesar,Preferences,Quiet Hotel,"quiet=true, area=manesar",Fabexpress Next Home,0.7863,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q083,soundproof rooms hotels near delhi airport,Preferences,Quiet Hotel,"quiet=true, area=airport",Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms,0.5764,Partial,50.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q084,calm and tranquil stay in gurugram,Preferences,Quiet Hotel,"quiet=true, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.7165,Yes,100.00,"Retrieved 6 ranked recommendations. Provenance: Vector, Vector, Vector"
Q085,boutique design hotels in delhi NCR,Boutique,Boutique Stay,boutique=true,Hotel Aerostar Grand,0.6277,Yes,100.00,Retrieved 4 ranked recommendations. Provenance: Metadata
Q086,heritage style hotel stays delhi,Boutique,Boutique Stay,"boutique=true, area=delhi",Hotel Hr Residency,0.5458,Yes,100.00,Retrieved 6 ranked recommendations. Provenance: Vector
Q087,charming unique stays gurugram,Boutique,Boutique Stay,"boutique=true, area=gurugram",Holiday Inn Gurugram Sector 90 By Ihg,0.7150,Yes,100.00,"Retrieved 6 ranked recommendations. Provenance: Vector, Vector, Vector"
Q088,aesthetic design rooms near cyber city,Boutique,Boutique Stay,area=gurugram,"Radisson Blu Plaza Hotel, Delhi Airport",0.5842,No,0.00,"Retrieved 8 ranked recommendations. Provenance: Metadata, Vector"
Q089,luxury business hotel in aerocity with pool gym spa and free breakfast,Multi-Constraint,Complex Request,"budget=luxury, area=aerocity, pool=true, gym=true, spa=true, breakfast=true","Holiday Inn New Delhi Int'L Airport, An Ihg Hotel",0.8662,Yes,83.33,"Retrieved 5 ranked recommendations. Provenance: Metadata, Vector, Vector, Vector"
Q090,cheap budget hotel in gurugram with free wifi parking and pets allowed,Multi-Constraint,Complex Request,"budget=budget, area=gurugram, wifi=true, parking=true, pets=true",Royal Residence 266,0.8927,Yes,80.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q091,highly clean family resort near manesar with pool and kid playing park,Multi-Constraint,Complex Request,"cleanliness>=4.5, family=true, area=manesar, pool=true",Fabexpress Next Home,0.7584,Yes,100.00,"Retrieved 10 ranked recommendations. Provenance: Aspect Index, Vector"
Q092,safe couple friendly hotel in south delhi with bathtub and breakfast under 3000,Multi-Constraint,Complex Request,"safe=true, couple=true, area=delhi, breakfast=true, budget=budget","Radisson Blu Hotel, New Delhi Paschim Vihar",0.5540,Yes,80.00,Retrieved 4 ranked recommendations. Provenance: Aspect Index
Q093,somewhere i can relax with my dog this weekend near nature,Natural Language,Ambiguous Request,"pets=true, weekend=true",Flora Residency,0.5257,Yes,100.00,Retrieved 9 ranked recommendations. Provenance: Metadata
Q094,looking for a place to host a corporate seminar with 50 people,Natural Language,Conference facilities,conference=true,Heistel Gurugram,0.5922,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q095,wheelchair accessible hotel in delhi with lift,Natural Language,Accessibility features,"accessible=true, area=delhi",Urban Retreat,0.6048,Yes,100.00,Retrieved 10 ranked recommendations. Provenance: Vector
Q096,hotel that has absolutely perfect score and costs nothing,Natural Language,Impossible Query,"rating=5.0, budget=budget",Hotel D K Residency,0.4867,Partial,50.00,Retrieved 8 ranked recommendations. Provenance: Metadata
Q097,luxry hotl in dehl,Edge Cases,Misspelled Query,"budget=luxury, area=delhi","Radisson Blu Plaza Hotel, Delhi Airport",0.5831,Partial,50.00,"Retrieved 8 ranked recommendations. Provenance: Metadata, Vector, Vector"
Q098,stays with morning meal and high speed web in gurgaon,Edge Cases,Synonym Search,"breakfast=true, wifi=true, area=gurugram",Grand Hyatt Gurgaon,0.7619,Yes,100.00,"Retrieved 6 ranked recommendations. Provenance: Metadata, Vector, Vector, Vector"
Q099,Hotels with excellent value ratings in Faridabad,Value,Faridabad Value Query,"value>=4.5, area=faridabad",Lavit Hotel,0.6095,Yes,100.00,"Retrieved 1 ranked recommendations. Provenance: Vector, Vector, Vector"
Q100,trust 75 area pataudi review 24 cleanliness 2.5,Edge Cases,Edge Query,"trust>=75, area=pataudi, reviews>=24, cleanliness>=2.5",None,0.0000,No,0.00,Retrieved 0 ranked recommendations. Provenance: N/A
