Query ID,Original Query,Query Type,Intent Category,Expected Constraints,URL,Search parameters,Filters extracted,Retrieval method used,Candidate generation count,Final ranked results
Q011,stay near pragati maidan exhibition centre,Natural Language,Business Travel,area=delhi,http://localhost:8000/recommend?query=stay+near+pragati+maidan+exhibition+centre,"{""query"": ""stay near pragati maidan exhibition centre"", ""max_results"": 10}","{""hard"": {}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.56) | #2 Flora Residency (Score: 0.51) | #3 Hotel Season Couple Friendlly Near Pitampura Metro (Score: 0.50) | #4 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.47) | #5 Pullman New Delhi Aerocity (Score: 0.47) | #6 Taj Palace, New Delhi (Score: 0.47) | #7 Limewood Signature - Near Golf Course Road (Score: 0.41) | #8 Hotel D K Residency (Score: 0.41) | #9 Pride Plaza Aerocity (Score: 0.37)"
Q012,quiet hotel with writing desk and business center,Natural Language,Business Travel,quiet=true,http://localhost:8000/recommend?query=quiet+hotel+with+writing+desk+and+business+center,"{""query"": ""quiet hotel with writing desk and business center"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""travel_purpose"": ""business""}}",Multi-Channel Hybrid Retrieval,50,#1 Hotel Bk Studios & Rooms (Score: 0.61) | #2 Hotel Hsp Suites (Score: 0.59) | #3 Roomshala 170 Hotel Aura (Score: 0.58) | #4 Hotel The Luxe (Score: 0.58) | #5 Stay Studio Hotel & Residences (Score: 0.58) | #6 Hotel Corporate Guest House (Score: 0.57) | #7 Hotel City Premier (Score: 0.57) | #8 Hotel Hr Residency (Score: 0.57) | #9 Hotel Blu Plaza (Score: 0.57) | #10 Hotel Grand Regency (Score: 0.57)
Q013,family friendly hotel with large rooms and play area,Natural Language,Family Travel,family=true,http://localhost:8000/recommend?query=family+friendly+hotel+with+large+rooms+and+play+area,"{""query"": ""family friendly hotel with large rooms and play area"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""travel_purpose"": ""family""}}",Multi-Channel Hybrid Retrieval,50,#1 Family Guest House (Score: 0.59) | #2 Hotel Corporate Guest House (Score: 0.58) | #3 Roomshala 170 Hotel Aura (Score: 0.57) | #4 Hotel A.P Residency (Score: 0.57) | #5 Hotel Golf View Suites (Score: 0.57) | #6 Dayal Regency (Score: 0.56) | #7 Hotel O Shree Jee Inn Guest House (Score: 0.56) | #8 Hotel Amar Palace (Score: 0.56) | #9 Urban Oasis (Score: 0.56) | #10 Hotel Blu Plaza (Score: 0.56)
Q014,kid friendly resort near manesar,Natural Language,Family Travel,area=manesar,http://localhost:8000/recommend?query=kid+friendly+resort+near+manesar,"{""query"": ""kid friendly resort near manesar"", ""max_results"": 10}","{""hard"": {""area"": ""Manesar""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Gurugram Manesar (Score: 0.74) | #2 The Tomo Inn (Score: 0.72) | #3 Savoy Suites, Manesar (Score: 0.70) | #4 Heritage Village Resort & Spa, Manesar (Score: 0.70) | #5 Hotel Sk Residency (Score: 0.59) | #6 Hotel O V2 Stay (Score: 0.56) | #7 Four Square (Score: 0.49)"
Q015,stays with triple bed family rooms in delhi NCR,Natural Language,Family Travel,family=true,http://localhost:8000/recommend?query=stays+with+triple+bed+family+rooms+in+delhi+NCR,"{""query"": ""stays with triple bed family rooms in delhi NCR"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi Ncr,Delhi NCR,Ncr""}, ""soft"": {""travel_purpose"": ""family""}}",Multi-Channel Hybrid Retrieval,50,"#1 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.58) | #2 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.45) | #3 Hotel Aerostar Grand (Score: 0.44) | #4 Holiday Inn New Delhi Mayur Vihar Noida, An Ihg Hotel (Score: 0.38) | #5 Ibis New Delhi Aerocity (Score: 0.37)"
Q016,hotel suitable for elderly parents and kids,Natural Language,Family Travel,family=true,http://localhost:8000/recommend?query=hotel+suitable+for+elderly+parents+and+kids,"{""query"": ""hotel suitable for elderly parents and kids"", ""max_results"": 10}","{""hard"": {}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Flora Residency (Score: 0.52) | #2 Hotel D K Residency (Score: 0.50) | #3 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.49) | #4 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.49) | #5 Limewood Signature - Near Golf Course Road (Score: 0.39) | #6 Pride Plaza Aerocity (Score: 0.39) | #7 Taj Palace, New Delhi (Score: 0.36) | #8 Pullman New Delhi Aerocity (Score: 0.35)"
Q017,safe single room hotel for solo traveler in delhi,Natural Language,Solo Travel,"safe=true, area=delhi",http://localhost:8000/recommend?query=safe+single+room+hotel+for+solo+traveler+in+delhi,"{""query"": ""safe single room hotel for solo traveler in delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi NCR""}, ""soft"": {""travel_purpose"": ""solo""}}",Multi-Channel Hybrid Retrieval,50,"#1 Radisson Blu Hotel, New Delhi Paschim Vihar (Score: 0.41) | #2 Holiday Inn New Delhi Mayur Vihar Noida, An Ihg Hotel (Score: 0.39) | #3 Vivanta New Delhi, Dwarka (Score: 0.38) | #4 Ibis New Delhi Aerocity (Score: 0.37)"
Q018,social hostel or guest house in gurugram,Natural Language,Solo Travel,area=gurugram,http://localhost:8000/recommend?query=social+hostel+or+guest+house+in+gurugram,"{""query"": ""social hostel or guest house in gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.68) | #2 Hotel Mavens House (Score: 0.61) | #3 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.60) | #4 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.59) | #5 Grand Hyatt Gurgaon (Score: 0.56) | #6 Collection O Hotel Cambridge (Score: 0.52)"
Q019,safe budget room for solo female traveler,Natural Language,Solo Travel,"safe=true, budget=budget",http://localhost:8000/recommend?query=safe+budget+room+for+solo+female+traveler,"{""query"": ""safe budget room for solo female traveler"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""budget_category"": ""budget"", ""travel_purpose"": ""solo""}}",Multi-Channel Hybrid Retrieval,50,"#1 Flora Residency (Score: 0.61) | #2 Holiday Inn New Delhi Mayur Vihar Noida, An Ihg Hotel (Score: 0.56) | #3 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.54) | #4 Bloom Hotel - Golf Course Road, Sector 43 (Score: 0.50) | #5 Novotel New Delhi Aerocity (Score: 0.49) | #6 Vamsor Heights (Score: 0.47) | #7 Vivanta New Delhi, Dwarka (Score: 0.47) | #8 Ibis New Delhi Aerocity (Score: 0.47) | #9 Limewood Signature - Near Golf Course Road (Score: 0.42) | #10 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.03)"
Q020,solo transit stay near IGI airport,Natural Language,Solo Travel,area=airport,http://localhost:8000/recommend?query=solo+transit+stay+near+IGI+airport,"{""query"": ""solo transit stay near IGI airport"", ""max_results"": 10}","{""hard"": {""area"": ""Airport""}, ""soft"": {""travel_purpose"": ""solo""}}",Multi-Channel Hybrid Retrieval,50,#1 Airport Hotel Royal Inn Igi (Score: 0.73) | #2 Holiday Inn Express New Delhi Int'L Airport T3 (Score: 0.49)
Q021,couple friendly hotel in delhi NCR with privacy,Natural Language,Couple Travel,couple=true,http://localhost:8000/recommend?query=couple+friendly+hotel+in+delhi+NCR+with+privacy,"{""query"": ""couple friendly hotel in delhi NCR with privacy"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi Ncr,Delhi NCR,Ncr""}, ""soft"": {""travel_purpose"": ""couple"", ""amenities"": ""Air Conditioning""}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn New Delhi Mayur Vihar Noida, An Ihg Hotel (Score: 0.53) | #2 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.53) | #3 Hotel Aerostar Grand (Score: 0.52) | #4 Ibis New Delhi Aerocity (Score: 0.47)"
Q022,romantic hotel with bathtub for anniversary,Natural Language,Couple Travel,couple=true,http://localhost:8000/recommend?query=romantic+hotel+with+bathtub+for+anniversary,"{""query"": ""romantic hotel with bathtub for anniversary"", ""max_results"": 10}","{""hard"": {}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Flora Residency (Score: 0.62) | #2 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.61) | #3 Hotel D K Residency (Score: 0.59) | #4 Limewood Signature - Near Golf Course Road (Score: 0.51) | #5 Pride Plaza Aerocity (Score: 0.50) | #6 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.49) | #7 Pullman New Delhi Aerocity (Score: 0.47)"
Q023,honeymoon suites in luxury hotels Aerocity,Natural Language,Couple Travel,"couple=true, budget=luxury, area=aerocity",http://localhost:8000/recommend?query=honeymoon+suites+in+luxury+hotels+Aerocity,"{""query"": ""honeymoon suites in luxury hotels Aerocity"", ""max_results"": 10}","{""hard"": {""area"": ""Aerocity""}, ""soft"": {""budget_category"": ""luxury""}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.95) | #2 Pride Plaza Aerocity (Score: 0.84) | #3 Pullman New Delhi Aerocity (Score: 0.80)"
Q024,secure stay for unmarried couples in gurugram,Natural Language,Couple Travel,"couple=true, area=gurugram",http://localhost:8000/recommend?query=secure+stay+for+unmarried+couples+in+gurugram,"{""query"": ""secure stay for unmarried couples in gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {""travel_purpose"": ""couple""}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.75) | #2 Crs Inn - Hotels In Gurgaon (Score: 0.75) | #3 Royal Residence 266 (Score: 0.72) | #4 Hotel O J M K Hotel (Score: 0.71) | #5 Evergreen Resort Aravali (Score: 0.70) | #6 Hotel Mavens House (Score: 0.69) | #7 Fabhotel Rr Residency - Hotel In Dlf Phase 2, Gurgaon (Score: 0.69) | #8 Grand Hyatt Gurgaon (Score: 0.68) | #9 Grand Mantram Resort (Score: 0.67) | #10 Hotel Mavens White - Near Artemis Hospital (Score: 0.67)"
Q025,weekend getaway resort near delhi NCR,Natural Language,Weekend Trip,resort=true,http://localhost:8000/recommend?query=weekend+getaway+resort+near+delhi+NCR,"{""query"": ""weekend getaway resort near delhi NCR"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi Ncr,Delhi NCR,Ncr""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.59) | #2 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.57) | #3 Hotel Aerostar Grand (Score: 0.49) | #4 Ibis New Delhi Aerocity (Score: 0.37)"
Q026,resort with pool for weekend staycation,Natural Language,Weekend Trip,pool=true,http://localhost:8000/recommend?query=resort+with+pool+for+weekend+staycation,"{""query"": ""resort with pool for weekend staycation"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""aspects"": ""pool"", ""amenities"": ""Pool""}}",Multi-Channel Hybrid Retrieval,50,"#1 Aapnoghar (Resort, Water Park, Amusement Park) (Score: 0.57) | #2 Corporate Stays -Suncity (Score: 0.57) | #3 Stayvista Villa (Score: 0.57) | #4 The Ocean Pearl Gardenia (Score: 0.57) | #5 Golf Luxury (Score: 0.56) | #6 Bloom Hotel - Golf Course Road, Sector 43 (Score: 0.56) | #7 Mosaic Hotel Noida (Score: 0.56) | #8 Saltstayz Select - Unitech Cyber Park (Score: 0.55) | #9 Saltstayz Premier Sector 42 - Golf Course Road (Score: 0.55) | #10 Hotel Golf View Suites (Score: 0.55)"
Q027,quick weekend stay near leisure valley gurugram,Natural Language,Weekend Trip,area=gurugram,http://localhost:8000/recommend?query=quick+weekend+stay+near+leisure+valley+gurugram,"{""query"": ""quick weekend stay near leisure valley gurugram"", ""max_results"": 10}","{""hard"": {""area"": ""Gurugram""}, ""soft"": {""travel_purpose"": ""leisure""}}",Multi-Channel Hybrid Retrieval,50,"#1 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.75) | #2 Crs Inn - Hotels In Gurgaon (Score: 0.67) | #3 Evergreen Resort Aravali (Score: 0.65) | #4 Grand Mantram Resort (Score: 0.64) | #5 Fabhotel Rr Residency - Hotel In Dlf Phase 2, Gurgaon (Score: 0.63) | #6 Hotel Windsor Castle (Score: 0.60) | #7 Grand Hyatt Gurgaon (Score: 0.60) | #8 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.58) | #9 Royal Residence 266 (Score: 0.58) | #10 Rsk Crown Plaza (Score: 0.57)"
Q028,short 2 day trip stays near manesar hill,Natural Language,Weekend Trip,area=manesar,http://localhost:8000/recommend?query=short+2+day+trip+stays+near+manesar+hill,"{""query"": ""short 2 day trip stays near manesar hill"", ""max_results"": 10}","{""hard"": {""area"": ""Manesar""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Gurugram Manesar (Score: 0.76) | #2 Savoy Suites, Manesar (Score: 0.69) | #3 Heritage Village Resort & Spa, Manesar (Score: 0.66) | #4 Hotel Sk Residency (Score: 0.61) | #5 Hotel O V2 Stay (Score: 0.61) | #6 The Tomo Inn (Score: 0.53) | #7 Four Square (Score: 0.52)"
Q029,long stay service apartments in gurugram with kitchen,Natural Language,Long Stay,"kitchen=true, area=gurugram",http://localhost:8000/recommend?query=long+stay+service+apartments+in+gurugram+with+kitchen,"{""query"": ""long stay service apartments in gurugram with kitchen"", ""max_results"": 10}","{""hard"": {""area"": ""Apartment,Gurugram""}, ""soft"": {""aspects"": ""service""}}",Multi-Channel Hybrid Retrieval,50,"#1 Hotel Mavens House (Score: 0.54) | #2 Grand Hyatt Gurgaon (Score: 0.46) | #3 Lime Tree Hotel Pulkit Gurgaon Artemis Hospital, Nearest Millennium City Centre Metro Station (Score: 0.41) | #4 Doubletree By Hilton Hotel Gurgaon - New Delhi Ncr (Score: 0.39) | #5 Holiday Inn Gurugram Sector 90 By Ihg (Score: 0.37) | #6 Collection O Hotel Cambridge (Score: 0.37)"
Q030,extended stay discounts hotel in delhi NCR,Natural Language,Long Stay,long_stay=true,http://localhost:8000/recommend?query=extended+stay+discounts+hotel+in+delhi+NCR,"{""query"": ""extended stay discounts hotel in delhi NCR"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi Ncr,Delhi NCR,Ncr""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.52) | #2 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.49) | #3 Hotel Aerostar Grand (Score: 0.47) | #4 Ibis New Delhi Aerocity (Score: 0.37)"
Q031,homestay with laundry facilities for monthly rent,Natural Language,Long Stay,laundry=true,http://localhost:8000/recommend?query=homestay+with+laundry+facilities+for+monthly+rent,"{""query"": ""homestay with laundry facilities for monthly rent"", ""max_results"": 10}","{""hard"": {}, ""soft"": {""amenities"": ""Laundry,Air Conditioning""}}",Multi-Channel Hybrid Retrieval,50,#1 Family Guest House (Score: 0.59) | #2 Raj Residency Guest House (Score: 0.58) | #3 Sukajini Home Stay & Pg (Score: 0.57) | #4 Rama House (Score: 0.57) | #5 Divisha Homes (Score: 0.56) | #6 Stayvista Villa (Score: 0.56) | #7 Royal Residence 266 (Score: 0.56) | #8 Destiny House (Score: 0.56) | #9 Sun Moon Residency And Apartments (Score: 0.56) | #10 Hotel O Shree Jee Inn Guest House (Score: 0.56)
Q032,monthly executive suite near cyber city,Natural Language,Long Stay,area=gurugram,http://localhost:8000/recommend?query=monthly+executive+suite+near+cyber+city,"{""query"": ""monthly executive suite near cyber city"", ""max_results"": 10}","{""hard"": {}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Radisson Blu Plaza Hotel, Delhi Airport (Score: 0.60) | #2 Pullman New Delhi Aerocity (Score: 0.55) | #3 Hotel D K Residency (Score: 0.52) | #4 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.50) | #5 Pride Plaza Aerocity (Score: 0.50) | #6 Taj Palace, New Delhi (Score: 0.50) | #7 Flora Residency (Score: 0.46) | #8 Limewood Signature - Near Golf Course Road (Score: 0.45)"
Q033,hotels within walking distance to metro station delhi,Natural Language,Metro Proximity,"metro=true, area=delhi",http://localhost:8000/recommend?query=hotels+within+walking+distance+to+metro+station+delhi,"{""query"": ""hotels within walking distance to metro station delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Delhi NCR,Metro""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.51) | #2 Hotel Aerostar Grand (Score: 0.50) | #3 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.46) | #4 Ibis New Delhi Aerocity (Score: 0.44)"
Q034,budget hotels near huda city centre metro,Natural Language,Metro Proximity,"metro=true, budget=budget, area=gurugram",http://localhost:8000/recommend?query=budget+hotels+near+huda+city+centre+metro,"{""query"": ""budget hotels near huda city centre metro"", ""max_results"": 10}","{""hard"": {""area"": ""Metro""}, ""soft"": {""budget_category"": ""budget""}}",Multi-Channel Hybrid Retrieval,50,
Q035,hotels near IGI Airport terminal 3 Aerocity,Natural Language,Airport Proximity,area=aerocity,http://localhost:8000/recommend?query=hotels+near+IGI+Airport+terminal+3+Aerocity,"{""query"": ""hotels near IGI Airport terminal 3 Aerocity"", ""max_results"": 10}","{""hard"": {""area"": ""Aerocity,Airport""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Novotel New Delhi Aerocity (Score: 0.43) | #2 Holiday Inn New Delhi Int'L Airport, An Ihg Hotel (Score: 0.38) | #3 Pride Plaza Aerocity (Score: 0.31)"
Q036,transit stays near airport with free pickup,Natural Language,Airport Proximity,airport=true,http://localhost:8000/recommend?query=transit+stays+near+airport+with+free+pickup,"{""query"": ""transit stays near airport with free pickup"", ""max_results"": 10}","{""hard"": {""area"": ""Airport""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,#1 Holiday Inn Express New Delhi Int'L Airport T3 (Score: 0.61) | #2 Airport Hotel Royal Inn Igi (Score: 0.48)
Q037,hotels near red fort and chandni chowk delhi,Natural Language,Attraction Proximity,area=delhi,http://localhost:8000/recommend?query=hotels+near+red+fort+and+chandni+chowk+delhi,"{""query"": ""hotels near red fort and chandni chowk delhi"", ""max_results"": 10}","{""hard"": {""area"": ""Chandni Chowk,Delhi NCR""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.51) | #2 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.49) | #3 Hotel Aerostar Grand (Score: 0.48) | #4 Ibis New Delhi Aerocity (Score: 0.40)"
Q038,stay near qutub minar south delhi,Natural Language,Attraction Proximity,area=delhi,http://localhost:8000/recommend?query=stay+near+qutub+minar+south+delhi,"{""query"": ""stay near qutub minar south delhi"", ""max_results"": 10}","{""hard"": {""area"": ""South Delhi,Delhi NCR""}, ""soft"": {}}",Multi-Channel Hybrid Retrieval,50,"#1 Homestay Near Isbt Kashmiri Gate & Metro | Private Rooms & Dorms (Score: 0.58) | #2 Ibis New Delhi Aerocity (Score: 0.48) | #3 Hotel Aerostar Grand (Score: 0.47) | #4 Fortune Park, East Delhi - Member Itc Hotels' Group (Score: 0.45)"
