user_id,budget_preference,preferred_area,travel_purpose,amenity_preferences
d2c2fcc2-39d2-4fc5-aa03-76a7a16e7655,Budget,New Industrial Township,Couple,Pool|Parking|Breakfast|WiFi
46e55124-b653-4948-94ac-ec3769ebb0b9,Budget,Other,Family,Parking|Spa|WiFi|Gym
81381393-b8b2-4909-997d-b7eb578ef360,Mid-Range,Chhatarpur,Couple,Gym|Pool|Spa|WiFi
cd88f7a5-a7a9-4bba-8860-718c15f748c5,Budget,Delhi,Leisure,WiFi|Spa
2f4feda1-78e4-4560-b5d8-706e9824973c,Mid-Range,Paschim Vihar,Family,WiFi|Spa|Breakfast
a1443eb1-cf2d-4cd4-b58f-7675f1a76ada,Mid-Range,Mahipalpur,Leisure,Pool|Gym|Spa
680321da-c822-4ba9-9682-34f1e944e377,Budget,Mahipalpur,Business,Spa|Parking|Pool|WiFi
8a30ba8d-102b-4944-a779-70c1cbfc3415,Mid-Range,Gurugram,Leisure,Pool|Parking|Spa|Gym
7a3c614d-9f9b-4b3b-b7d5-6fa430d4def8,Mid-Range,Burari,Leisure,Gym|Parking|Spa|Breakfast
adcd05c3-8904-45cc-b36c-a12b2a9ee0bb,Budget,Mahipalpur,Leisure,Spa|Pool
26402c48-9f32-4fa9-ad74-c06ac1c78fac,Budget,Shahdara,Family,Pool|Gym
7eb4d399-1b8f-4ace-82cf-bbf5cc9ae24b,Mid-Range,Gurugram,Leisure,Gym|WiFi|Breakfast|Parking
17460094-cd3d-4c5f-8f4a-0a31c50b1432,Mid-Range,Paschim Vihar,Leisure,Spa|Parking|Pool
10f0b8e2-deb3-4e26-aca5-90ffe3e8e99b,Mid-Range,Karol Bagh,Leisure,Parking|Spa|Pool
e60ea33a-656b-4a11-a52b-237d4e3786ea,Mid-Range,Dwarka,Family,Pool|Parking
0d673e5f-8978-42ab-a3c0-199a53e93a87,Luxury,Chhatarpur,Family,Breakfast|WiFi
f7a78b1f-4d2a-410c-91be-f76480156929,Mid-Range,Burari,Family,Pool|Breakfast
8d5fa760-7e26-4162-b980-5fa6b4618085,Mid-Range,Other,Business,Gym|Breakfast|WiFi
1751f97a-1efe-4769-a2bf-cc693c38b8b0,Mid-Range,Manesar,Business,Parking|Pool|Spa
49c3a8c2-0d09-44d7-b6a3-abda454be902,Luxury,New Industrial Township,Business,WiFi|Pool|Gym
8387477e-ccc7-4ca8-8d83-b2f795c1cfd6,Budget,Shahdara,Leisure,Spa|Breakfast|Parking|Gym
bf80f762-8b0c-4fa6-8b21-2005bd1dce5c,Mid-Range,Karol Bagh,Leisure,WiFi|Breakfast|Parking
51fb6cf1-4f93-46ec-9bd5-6684a19895db,Luxury,Burari,Couple,Pool|Spa
f2c58a76-7152-4386-9abf-93e52df41425,Luxury,Sector 38,Family,Pool|WiFi|Spa
c9c64118-2d9d-4fc9-b82b-b9c81aad9d6d,Luxury,Sector 38,Family,Spa|Gym|WiFi
d3046880-a3c3-4e89-8b50-5e923e00059f,Mid-Range,Karol Bagh,Business,Gym|Spa|Parking|WiFi
d77dca61-3e09-4500-a590-f21bb569f3ea,Budget,Sector 38,Family,Pool|Parking
93d2a93a-437e-4520-9697-d60d0b80bf8c,Budget,Karol Bagh,Family,WiFi|Parking|Breakfast|Pool
fc15b51b-39eb-478b-ae87-056c4c7eca24,Mid-Range,Dwarka,Business,Pool|Breakfast
75b858f3-620d-4727-9179-a6314ba185a0,Budget,Paschim Vihar,Solo,Pool|Gym|WiFi|Spa
a1fb0e10-d34e-44d3-b683-51f238d6b9e9,Mid-Range,Dwarka,Business,WiFi|Spa|Gym
e33be9ee-3d0c-44df-9665-8020a2d7d3cf,Mid-Range,Other,Leisure,WiFi|Parking|Spa|Pool
0ab75a7f-df28-4916-98e5-af36e92c9693,Mid-Range,Gurugram,Leisure,Breakfast|Parking|Pool|Gym
593af43c-54b9-4047-9f69-97cb3a428ed1,Budget,Rohini,Leisure,Gym|WiFi|Breakfast
dab65971-b0f4-4286-8b84-e7977e44e935,Budget,New Industrial Township,Couple,Spa|Parking|Gym|Pool
732513d1-f4f5-4168-9ff9-321be240ccd0,Mid-Range,Manesar,Business,Breakfast|Parking
c421a6cd-9a42-4e54-a55e-22112e9636e0,Mid-Range,New Industrial Township,Business,Pool|Breakfast|WiFi
c1babf89-687b-45ed-991f-d2486e6bb480,Mid-Range,Other,Solo,Spa|Gym|Breakfast|WiFi
8653e6e5-30b7-4eee-9aeb-7193aeac187d,Mid-Range,New Industrial Township,Leisure,Spa|Gym|Parking|Pool
f62ee30d-1673-4a00-b2d4-2ce4aa682f43,Budget,Imt Manesar,Family,Gym|Spa
d869cf53-9e45-4f88-bd6e-a3676a48a6c5,Mid-Range,Sector 38,Solo,Breakfast|Spa|Pool|Parking
f7be0785-240a-42ee-8b2f-70eba51c17b8,Mid-Range,Sector 57,Couple,Parking|Spa|Gym|Pool
bec9ecdb-c5ac-412a-90f0-0dd35099444b,Luxury,Sector 53,Family,WiFi|Spa|Parking
4d26f2e3-268c-497f-92d2-5a97ff6d024d,Budget,Paharganj,Business,Pool|Gym
d470e70f-bc7e-4b05-b864-cfc09c8c0aa4,Mid-Range,Karol Bagh,Couple,Spa|Pool|Parking
3bbf01ad-afdc-4b20-a91c-43fdb6ed7924,Mid-Range,Shahdara,Family,Parking|Spa|WiFi
fcc031ad-4208-4740-88ba-b107e425dc05,Mid-Range,Sector 43,Business,Spa|Breakfast|Gym
620e0ad4-347b-4052-bbbc-42daf839267d,Mid-Range,Burari,Family,Pool|WiFi|Gym
247c86f4-8951-4e3b-a21d-77f03d82ad67,Mid-Range,Imt Manesar,Solo,Parking|Breakfast|Pool|WiFi
cc97c076-c4a2-4250-bbf1-ca4cd519cead,Mid-Range,Shahdara,Business,Breakfast|WiFi|Gym|Parking
c975001f-3b45-42fe-acb5-9e82a8193725,Mid-Range,Delhi,Solo,Breakfast|Pool|Spa|Parking
cdd1929b-56e0-473c-bb41-c14e0501acc8,Luxury,Paharganj,Couple,Parking|WiFi|Spa|Gym
ab30a6f2-8033-42c5-9ed7-c240fc5b1904,Luxury,Sector 53,Leisure,Parking|Pool|WiFi|Breakfast
de6ce82d-b9c0-402f-8b6f-0b2f6e99ac99,Luxury,Manesar,Family,Parking|Pool
f85b12e4-d529-444d-98d3-b24f348cc255,Budget,Sector 53,Leisure,Breakfast|Spa|WiFi|Parking
5f71cbee-87b1-4879-99af-43b553974275,Budget,Paschim Vihar,Family,Spa|WiFi
aae78df0-8618-4522-9128-e23f8706f3ec,Mid-Range,Mahipalpur,Couple,Gym|Pool
5e7b0e4b-647c-477b-8230-01f4059583d6,Mid-Range,Sector 43,Family,Spa|Gym|Breakfast
e4ef0e13-544d-4798-978a-8bef5ec73c2e,Budget,Sector 43,Leisure,Parking|Breakfast|Gym
2c05449c-a061-4d66-8d3f-0f834181a896,Budget,New Delhi,Business,WiFi|Spa|Pool
03bef37d-3d9d-48b7-bf64-8d5066ad358b,Budget,Loni,Leisure,Breakfast|Gym|WiFi|Spa
47f3cb3e-9ec8-43f6-870d-85e6d6cfdc35,Mid-Range,Chhatarpur,Couple,Spa|Parking|Gym
e3867216-fe86-4600-a219-9f33758eb210,Mid-Range,Dwarka,Family,WiFi|Spa|Breakfast|Gym
fc8c2322-38c2-4462-8d21-cbf7f2378fcb,Luxury,Chhatarpur,Leisure,Breakfast|Gym|Spa|WiFi
8e667844-ef65-43ff-b2d9-993cef706409,Mid-Range,Karol Bagh,Business,Gym|Breakfast|Parking
36ffb52d-7b83-45cc-95cd-193e7b44df6b,Mid-Range,Sector 57,Business,Parking|Gym
a5f8e98b-2ba0-4e4b-bb54-b670a8e485f9,Budget,Mahipalpur,Business,Spa|Breakfast|Pool|Parking
e2e26456-e93e-46ed-a675-50f7a2c8c8a3,Budget,Gurugram,Family,Gym|Spa|WiFi
955694d2-0120-43cb-ba48-ede2a15c8881,Mid-Range,Imt Manesar,Leisure,Gym|Breakfast|Pool|Spa
26caffda-1a3d-4589-ae97-7381682bdd7a,Budget,Burari,Solo,WiFi|Gym
9cf83b4b-5384-4d82-84d1-94810591235f,Budget,Sector 57,Leisure,WiFi|Pool
ee8a34c2-7609-4c18-afd1-af4e174cb78d,Budget,Sector 53,Couple,Gym|Breakfast|Parking|Pool
5eca0444-5f8a-42f9-9d8b-9e1f71df019d,Luxury,Burari,Solo,Breakfast|Spa|Gym
b32fb846-cfef-4960-b9ab-46068bb35d50,Budget,Loni,Leisure,Breakfast|Gym|Pool|WiFi
9ef10082-3428-4ada-8c3b-eab2fb649deb,Budget,Sector 57,Couple,Parking|Pool
1489e59d-1e74-4f84-9390-e516e51b8b9b,Budget,Dwarka,Leisure,Breakfast|Gym
90ae9cc5-01b4-44d3-9218-2747c44f5604,Mid-Range,Karol Bagh,Business,WiFi|Gym
6021da90-399d-4029-8ace-3cb50ef240c9,Mid-Range,Paharganj,Family,Pool|Gym|Breakfast
fcdd6e30-986b-4ad1-aa53-2974f5fb06e7,Budget,Mahipalpur,Leisure,Spa|Parking|Gym
2b85f71d-1aac-4c7a-9e8d-b75d1c19637f,Luxury,Sector 43,Leisure,Spa|WiFi|Pool
5b4d4db2-1930-4544-828c-16aa7d840170,Luxury,Gurugram,Leisure,WiFi|Pool
8caf6093-3818-48f0-8dfd-b789b157aa8f,Mid-Range,Karol Bagh,Leisure,Gym|Parking
818303ed-e609-48fa-a620-fe875de78545,Budget,Karol Bagh,Leisure,Pool|Gym|Breakfast
e03de052-a1e6-4466-9bbf-a31625c32cd6,Mid-Range,Karol Bagh,Leisure,Breakfast|Pool
b4792de9-31b2-4bb8-be23-dba1e4935673,Mid-Range,Sector 43,Family,WiFi|Gym|Pool
a10c532b-bbce-4fb2-94fe-57bb8ed57aee,Budget,Gurugram,Family,Spa|Parking|WiFi
afe42210-3934-4e89-a48c-aa0b88be3930,Luxury,Gurugram,Family,Pool|Breakfast|Gym
75f7a969-4b39-43d5-9129-6e3e7f5b737b,Mid-Range,Delhi,Family,Pool|WiFi
a0edda00-56b2-4bcc-bafa-768af0edb620,Mid-Range,Paharganj,Couple,Spa|WiFi
5120b3fc-df68-4ca3-b023-977b29ccbc3d,Mid-Range,Burari,Couple,Pool|Breakfast|WiFi
6650d9cd-e50e-4e5e-b6c0-9d31deaa1fa2,Budget,Manesar,Leisure,Parking|Gym
4f7b8026-abe4-4530-958f-19c7a44e1c23,Budget,Rohini,Leisure,Pool|WiFi|Spa|Gym
460d50dc-f903-45dc-8b71-ffdcfb556d7e,Budget,Sector 38,Business,Spa|Parking
9b873d8f-70cf-41e3-aad8-702168306f70,Budget,Shahdara,Family,Gym|Parking|WiFi
f3bd1519-3811-4c22-8fe4-5970c52bde89,Mid-Range,Chhatarpur,Leisure,WiFi|Gym|Parking
b4e9dd4d-f2f0-4512-9159-f981a1dddd87,Mid-Range,Karol Bagh,Leisure,Pool|Parking
8fa92135-d83e-4170-ad36-8e3c43650ee2,Mid-Range,Sector 57,Family,Parking|Spa|WiFi
ea80e38c-6d58-4c9d-a1e7-616c53eace2e,Mid-Range,Shahdara,Business,Gym|Parking
ea628140-be21-4ba9-9e5c-567879dd6cb2,Luxury,Rohini,Business,Parking|Spa|Breakfast|Gym
95fe4890-4507-4b5f-a2d2-3ac7db9a3134,Mid-Range,Sector 53,Business,Pool|Parking|Gym|WiFi
4aa4d550-c08f-42fa-a6bf-834d59f81a34,Budget,Loni,Couple,Gym|Spa|Parking
31212950-4295-47f4-b6dc-7ec74ef4b506,Luxury,Imt Manesar,Solo,Parking|Spa|Pool|WiFi
443bcecc-58a0-4976-8093-9fb99caaac34,Mid-Range,Mahipalpur,Business,Gym|WiFi
2ecd8a47-2028-4428-ac7e-8f22a81b6281,Mid-Range,Chhatarpur,Solo,Breakfast|Spa
2571a4c9-548d-4d82-b8e7-37b3117bb99b,Luxury,Karol Bagh,Business,WiFi|Pool
d524d4ef-3243-4533-ac76-c481a2c6b7e3,Mid-Range,Mahipalpur,Family,WiFi|Spa|Parking|Gym
84a70170-eb28-479b-898a-98d1f6398b18,Budget,Imt Manesar,Business,Pool|Spa
bcafdb66-81b4-4091-ba36-7192516a495a,Mid-Range,Manesar,Leisure,WiFi|Spa|Gym
ec211d83-5c1e-4686-84e6-0666cc0e4845,Budget,Chhatarpur,Business,WiFi|Spa|Gym
363239d3-7cec-43d3-94ed-311afaf4f117,Budget,Sector 57,Leisure,Parking|Gym|Spa|Pool
da797232-2cbb-4978-85f2-2df5471839af,Mid-Range,Dwarka,Leisure,Breakfast|Parking
78979b28-bf57-4f10-a9d1-a047327947ef,Mid-Range,Sector 38,Leisure,Gym|Pool
930e56f6-e620-4173-a63b-e69845c7e999,Budget,Sector 38,Leisure,Breakfast|Gym
3f80fadc-1f93-4aa5-862f-5d6288297faa,Mid-Range,New Delhi,Leisure,WiFi|Gym
2f15a99f-f29e-4c8c-b876-5a3fa26aa34c,Budget,Mahipalpur,Couple,Parking|Breakfast|Pool
4d363b1d-d65a-4898-8acd-c9de6de2f300,Mid-Range,Rohini,Family,Parking|WiFi|Breakfast|Spa
bc705235-7723-4018-ade4-b7fcdf5fc078,Mid-Range,Sector 43,Solo,Breakfast|WiFi|Gym|Pool
dcef2a7c-7d24-4c85-93b5-3f5617be5aff,Budget,Other,Leisure,WiFi|Parking
d4485619-0b1e-47bb-bdc3-32bf8eb3b431,Budget,Dwarka,Leisure,Gym|WiFi|Breakfast
ff6fc418-8902-4709-a357-bf07ab612659,Mid-Range,Imt Manesar,Business,Parking|Gym|Breakfast
d1afe129-0195-4fbb-b035-0d36db3ec051,Luxury,Gurugram,Leisure,Breakfast|Pool
9c44561f-34d4-4a7c-baad-8cf6753013db,Budget,Loni,Leisure,Spa|Parking
f7d761cc-d4c1-4236-a4c4-0cedca99b448,Mid-Range,Paharganj,Leisure,Gym|Breakfast|WiFi|Spa
f58f3b26-6d04-4d8a-b947-be108b843493,Mid-Range,Paharganj,Leisure,Pool|Parking|Breakfast|Spa
f3db8f49-ab3c-4387-850b-36f7ed675c2b,Budget,Delhi,Leisure,Gym|Parking|Breakfast|WiFi
9555b3b6-192a-4499-94c4-fd89a637d42b,Mid-Range,Gurugram,Couple,Parking|Spa|WiFi|Pool
7d95da2e-51e6-4f4f-9d38-3d5957682347,Mid-Range,Karol Bagh,Business,Breakfast|Spa|Parking|WiFi
eefc4c41-4e27-4857-9c2c-12392223d894,Budget,New Delhi,Business,Breakfast|Gym|WiFi|Spa
8488785e-3f19-43a7-90fe-eef8a4c5758c,Luxury,Sector 38,Couple,WiFi|Parking|Breakfast|Pool
13e9d08a-dbcf-4db7-bb49-09aef8fbb693,Mid-Range,Imt Manesar,Business,Parking|WiFi|Gym
43563929-26e7-43e5-a281-541d6df43e12,Mid-Range,New Industrial Township,Leisure,WiFi|Breakfast|Gym|Parking
98102b4d-cdc2-4540-b33d-acaed57fd37e,Mid-Range,Gurugram,Leisure,Gym|Pool|Parking
31b619bb-5b4f-4963-8e79-cc40838c0b61,Mid-Range,Delhi,Couple,Pool|Spa|Gym
455c6d03-8710-4ad4-a1b4-92e6351848ab,Luxury,Burari,Business,Gym|WiFi|Parking
95634efa-5753-4e81-aa27-ab0c3e743543,Budget,Mahipalpur,Leisure,Parking|Pool
52846282-2ea3-4564-8b6e-0f1e37c8d0f0,Budget,Shahdara,Leisure,Gym|Pool|Breakfast|WiFi
edfe7576-a72a-4af9-88f2-b2ab5e647e79,Budget,New Industrial Township,Solo,WiFi|Spa
d7945dc7-8d7b-4200-9ad7-24662c114578,Mid-Range,New Industrial Township,Business,Pool|Breakfast|WiFi|Spa
c3c81418-929a-41cb-babf-58c2e5c64821,Budget,Sector 53,Leisure,WiFi|Breakfast|Spa|Gym
7e5cd4f9-8546-40fd-8ca4-2562399c8727,Luxury,Paschim Vihar,Couple,Pool|Gym
1716ad43-d9a8-41b7-9390-461b5eaa5ef3,Budget,Chhatarpur,Couple,Breakfast|Spa|WiFi|Gym
175d0fb4-340c-4d83-9846-322d9a268beb,Mid-Range,Karol Bagh,Family,WiFi|Parking|Pool
63623873-fa83-4cbb-873c-3c157f800306,Mid-Range,Shahdara,Couple,Spa|WiFi|Gym
e6b5a895-61d4-4a3c-a4cc-98754530cead,Mid-Range,Mahipalpur,Solo,Parking|WiFi
e009c381-b54a-4cc8-8881-6f27bf5a7b6c,Budget,Imt Manesar,Leisure,Breakfast|Parking|Spa|WiFi
aaf7a1dd-a303-483c-9109-6044d52f938c,Budget,Loni,Business,Spa|Gym|Pool
de2ebfc8-9a10-40a1-a280-fb0a8021786f,Budget,Delhi,Business,Gym|Breakfast|WiFi
33135610-2b43-42b0-a0e5-75ba1bc8cc3e,Mid-Range,New Delhi,Solo,Spa|Pool|Gym
e5ec9485-21d7-44be-9815-4074d5656ba7,Budget,Paschim Vihar,Business,Breakfast|Spa|WiFi
60088506-d034-490f-b7dd-7097ba0bbe9f,Mid-Range,New Delhi,Leisure,Spa|WiFi|Breakfast|Gym
a877b009-d29a-47d3-8792-72f833f787f9,Mid-Range,Loni,Leisure,Spa|Parking
3aebde1d-a0bb-4bdf-a475-0b7edccc6068,Mid-Range,Sector 43,Leisure,WiFi|Pool
6593e86a-9014-4224-bd03-d2ef0a87cfd7,Mid-Range,New Industrial Township,Leisure,Parking|Gym|Breakfast|Pool
9712a410-d28b-48ac-85dc-13465e5db5aa,Mid-Range,Gurugram,Family,Parking|Breakfast
545a22ee-dbba-4304-8a5a-0a3e64819596,Mid-Range,Chhatarpur,Couple,WiFi|Breakfast|Pool|Parking
9d51c09a-38c3-4f19-aed3-da9ba9d43ed5,Budget,Other,Family,WiFi|Parking|Spa
6d055ab8-931e-4669-8970-8532cc3f839c,Mid-Range,Shahdara,Business,WiFi|Breakfast
949a5e77-6bda-4dc4-a037-c9fc31a64b29,Mid-Range,Paharganj,Business,Gym|Breakfast
86492d3e-bf92-429c-a397-4b0891a0d73d,Budget,Burari,Family,Breakfast|Spa|Gym
4939db32-97cd-4846-9c6f-72d28fb6e954,Budget,Sector 57,Couple,WiFi|Parking|Gym|Spa
39bea8fd-c380-4357-961c-2773b38527f5,Mid-Range,Imt Manesar,Family,Breakfast|Spa
a20b8254-b406-4004-942d-b1e5bf377a2b,Budget,Shahdara,Family,Parking|Gym|Spa
bddca7ca-8ed3-48dd-b244-69905cca533b,Budget,Shahdara,Leisure,Breakfast|Gym|WiFi|Pool
e0e2a088-1a26-4e53-aa9b-b2bf7ea3a3e7,Mid-Range,Burari,Couple,Spa|Pool|WiFi
68e0e071-bfd4-43c8-bcb0-03c780fd6047,Mid-Range,Burari,Solo,Spa|Breakfast|Pool|WiFi
ce363863-71a3-4828-b817-26cd2016fc03,Mid-Range,Paharganj,Business,Spa|Gym|Pool
79aa85c3-bad3-42fb-81ba-d1f294060277,Budget,Paharganj,Couple,Spa|Gym
4a144288-098e-478c-aa33-592884bb8933,Mid-Range,Mahipalpur,Leisure,Spa|Parking|Breakfast
